episode,mean_VAoI,avg_tx_ratio,tx_ratio_ema,target_tx_ratio,budget_error,budget_relative_error,budget_error_after_deadzone,mean_action_probability,multiplier_used,multiplier_next,multiplier_at_max,actor_loss,critic_loss,entropy,approx_kl,clip_fraction,common_mode_coefficient,common_mode_loss,ppo_policy_gradient_norm,total_actor_gradient_norm,common_mode_gradient_norm,mean_vaoi_advantage,std_vaoi_advantage,max_abs_vaoi_advantage,critic_architecture,critic_input_dim,actor_curvature_enabled,critic_curvature_enabled,curvature_ablation_mode,critic_value_mean,critic_value_std,critic_within_slot_value_std_mean,critic_within_slot_value_std_max,vaoi_advantage_within_slot_std_mean,vaoi_advantage_global_std,critic_return_mean,critic_return_std,critic_explained_variance,bootstrap_value_mean,bootstrap_value_std,mean_budget_advantage,std_budget_advantage,max_abs_budget_advantage,vaoi_policy_gradient_norm,budget_policy_gradient_norm,budget_to_vaoi_gradient_ratio,n_nodes,update_probability,max_node_activity_ratio,node_cap_violation_fraction,curvature_control_messages,actor_architecture_version,use_stage1_reference,alpha_raw,alpha_kappa,effective_alpha,residual_input_dim,residual_input_feature_names,q_base_mean,q_base_std,q_base_min,q_base_max,residual_delta_mean,residual_delta_std,residual_delta_min,residual_delta_max,residual_mean_global,residual_std_global,residual_mean_per_step_abs_mean,residual_mean_per_step_abs_max,residual_positive_fraction,residual_negative_fraction,residual_saturation_fraction,q_final_mean,q_final_std,corr_s_kappa_q_base,residual_architecture,node_input_dim,edge_input_dim,message_dim,aggregation,aggregated_message_dim,decoder_input_dim,directed_edge_count,mpnn_disabled_edge_feature,mean_directed_degree,mean_edge_freshness_gain,message_l2_mean,message_l2_std,aggregated_message_l2_mean,aggregated_message_l2_std,action_prob_mean,action_prob_std,action_prob_min,action_prob_p10,action_prob_p50,action_prob_p90,action_prob_max,action_prob_node_std_mean,action_prob_global_std,action_prob_per_node_mean_std
0,6.227753955423832,0.10103125039488077,0.1005156251974404,0.1,0.0005156251974403891,0.005156251458778746,0.005156251458778746,0.1016087755560875,0.0,5.156251458778746e-05,False,-7.065390946081607e-06,104.47174835205078,0.32101836800575256,5.210845301917288e-07,0.0,0.05,1.8196255950897466e-06,0.005060798488557339,0.005060798488557339,0.0,-3.051757957450718e-08,0.9999995231628418,5.199216365814209,node_conditioned,25,True,True,False,0.029910536482930183,0.2332930564880371,0.16898113489151,0.2149081975221634,0.10616574436426163,1.886586308479309,-10.29478931427002,1.9760091304779053,0.0884606178391899,-0.02719421312212944,0.17264609038829803,0.0,0.0,0.0,0.005060798488557339,0.0,0.0,80,0.2,0.2325,0.1125,718,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.1016087755560875,0.039119698107242584,0.05268523097038269,0.19951993227005005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1016087755560875,0.039119698107242584,0.9807322231152076,mpnn,5,3,16,mean_max,32,38,287200,none,3590.0,0.4692015051841736,0.6218199729919434,0.1733427494764328,1.0755882263183594,0.1473185420036316,0.1016087755560875,0.039119698107242584,0.05268523097038269,0.05676746368408203,0.09383507072925568,0.14246787428856814,0.19951993227005005,0.03911969065666199,0.039119698107242584,0.0391196645796299
1,6.31889169216156,0.09422222441993654,0.09711111220996826,0.1,-0.002888887790031741,-0.02888887501142991,-0.02888887501142991,0.09495189040899277,0.0,0.0,False,-5.593734613285051e-07,106.56304168701172,0.31016331911087036,1.131367184825649e-06,0.0,0.05,9.157583917840384e-06,0.0010455067967996001,0.0008821867522783577,0.00018439062114339322,-2.1701389130157622e-07,0.999999463558197,5.080928802490234,node_conditioned,25,True,True,False,-0.3176642954349518,0.24322450160980225,0.16207343339920044,0.23269762098789215,0.10649978369474411,1.9503872394561768,-10.728045463562012,2.042781114578247,0.08841317871102428,-0.33317577838897705,0.15336230397224426,0.0,0.0,0.0,0.0010455067967996001,0.0,0.0,90,0.2,0.1725,0.05555555555555555,1016,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09479396045207977,0.026079371571540833,0.05268523097038269,0.16056860983371735,0.00184650591108948,0.0001498021447332576,0.00041673588566482067,0.0022938197944313288,0.00184650591108948,0.0001498021447332576,0.001846505794674158,0.0019101841608062387,1.0,0.0,0.0,0.09495189040899277,0.026119688525795937,0.9899410017403851,mpnn,5,3,16,mean_max,32,38,406400,none,4515.555555555556,0.4847598969936371,0.6596440672874451,0.1883491575717926,1.136468768119812,0.14800477027893066,0.09495189040899277,0.026119688525795937,0.052705973386764526,0.06457361280918121,0.0954265296459198,0.1315377086400986,0.1608651876449585,0.026119686663150787,0.026119688525795937,0.02611968293786049
2,7.31185176808387,0.09952500002458692,0.09976250001229346,0.1,-0.00023749998770654368,-0.0023749996395654727,-0.0023749996395654727,0.10092576593160629,0.0,0.0,False,-1.7961359617402195e-06,143.8178253173828,0.3230800926685333,1.4458370287684374e-06,0.0,0.05,1.9497203538776375e-05,0.0027829420287162066,0.0024575029965490103,0.0003333508502691984,-3.6621094068323146e-07,0.9999995827674866,4.673508644104004,node_conditioned,25,True,True,False,-0.7353269457817078,0.2876041829586029,0.15997105836868286,0.20938828587532043,0.10253599286079407,2.4144294261932373,-12.75720500946045,2.5555434226989746,0.10738836142647945,-0.8290745615959167,0.14561688899993896,0.0,0.0,0.0,0.0027829420287162066,0.0,0.0,100,0.2,0.1825,0.04,920,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.10062573850154877,0.027595899999141693,0.052685171365737915,0.16056859493255615,0.003321477212011814,0.0002582299057394266,0.0008832801831886172,0.004130346700549126,0.003321477212011814,0.0002582299057394266,0.003321477212011814,0.0034114790614694357,1.0,0.0,0.0,0.10092576593160629,0.02767420932650566,0.9915120132103952,mpnn,5,3,16,mean_max,32,38,368000,none,3680.0,0.44764071702957153,0.6490422487258911,0.18364471197128296,1.1231982707977295,0.13606417179107666,0.10092576593160629,0.02767420932650566,0.052729249000549316,0.06684815883636475,0.10202571749687195,0.1380670398473672,0.16111326217651367,0.027674205601215363,0.02767420932650566,0.027674196287989616
3,8.61775436528027,0.09524999957531691,0.09762499978765846,0.1,-0.0023750002123415492,-0.023749999748415518,-0.023749999748415518,0.09624466300010681,0.0,0.0,False,1.3009076837988687e-06,199.68438720703125,0.3116525709629059,9.362860282635665e-07,0.0,0.05,3.223264138796367e-05,0.00048749722191132605,0.00019357890414539725,0.00047492512385360897,-9.987571303327059e-08,0.9999996423721313,4.7196550369262695,node_conditioned,25,True,True,False,-1.2116183042526245,0.3385349214076996,0.1660609096288681,0.21947139501571655,0.10400819033384323,2.817171096801758,-15.349542617797852,3.0214598178863525,0.13065373317211315,-1.319197177886963,0.16389812529087067,0.0,0.0,0.0,0.00048749722191132605,0.0,0.0,110,0.2,0.215,0.08181818181818182,1004,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.0958356186747551,0.03074680082499981,0.052685171365737915,0.19951993227005005,0.00472484203055501,0.0004165012505836785,0.0013714269734919071,0.0061236596666276455,0.00472484203055501,0.0004165012505836785,0.004724842496216297,0.004887585062533617,1.0,0.0,0.0,0.09624466300010681,0.030869007110595703,0.9838337001361663,mpnn,5,3,16,mean_max,32,38,401600,none,3650.909090909091,0.42460528016090393,0.6373984813690186,0.1829247772693634,1.0819910764694214,0.1662416309118271,0.09624466300010681,0.030869007110595703,0.05275365710258484,0.05291140079498291,0.09037536382675171,0.13618334531782397,0.20036569237709045,0.030869001522660255,0.030869007110595703,0.030868995934724808
4,7.542280810214579,0.09910416843835264,0.09955208421917633,0.1,-0.00044791578082367667,-0.004479157360321031,-0.004479157360321031,0.09767138957977295,0.0,0.0,False,1.8103484080711496e-06,149.05096435546875,0.3159849941730499,-1.1884733339684317e-06,0.0,0.05,4.627776797860861e-05,0.0010725765023380518,0.00048715932643972337,0.0006364535656757653,-3.356933575560106e-07,0.9999994039535522,5.396881580352783,node_conditioned,25,True,True,False,-1.490696668624878,0.33972635865211487,0.1818866729736328,0.22715014219284058,0.11201772838830948,2.1937878131866455,-13.783196449279785,2.3623602390289307,0.13762346385492374,-1.6422299146652222,0.19681712985038757,0.0,0.0,0.0,0.0010725765023380518,0.0,0.0,120,0.2,0.2275,0.09166666666666666,1266,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09713984280824661,0.027426160871982574,0.05268523097038269,0.19951993227005005,0.006062718573957682,0.0005445952410809696,0.0015420643612742424,0.007660022005438805,0.006062718573957682,0.0005445952410809696,0.006062719039618969,0.006256697699427605,1.0,0.0,0.0,0.09767138957977295,0.027564777061343193,0.9838299903393135,mpnn,5,3,16,mean_max,32,38,506400,none,4220.0,0.4660724699497223,0.6801567673683167,0.1951652318239212,1.1431777477264404,0.1545494943857193,0.09767138957977295,0.027564777061343193,0.05276218056678772,0.06813450753688875,0.09252938628196716,0.14276492893695833,0.20066672563552856,0.027564765885472298,0.027564777061343193,0.027564745396375656
5,6.423669308647513,0.09787500044098124,0.09919531281921082,0.1,-0.0008046871807891876,-0.008046871003204776,-0.008046871003204776,0.09757998585700989,5.156251458778746e-05,0.0,False,3.092146471317392e-06,105.38776397705078,0.313416987657547,-6.40732480405859e-08,0.0,0.05,5.161953959031962e-05,0.0010806452482938766,0.0017847230192273855,0.0007262665894813836,-4.1961669694501325e-07,0.9999995231628418,5.64427375793457,node_conditioned,25,True,True,False,-1.7868640422821045,0.3399794399738312,0.20182067155838013,0.2531585395336151,0.12402741611003876,1.7609148025512695,-12.153443336486816,1.9106497764587402,0.1505954997560751,-1.951753854751587,0.19595971703529358,-1.5211455206554092e-08,1.5215604435070418e-05,4.883962174062617e-05,0.0010806452482938766,4.735998118121643e-06,0.004382524515194619,80,0.2,0.2225,0.075,732,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09697355329990387,0.034470509737730026,0.05268523097038269,0.19951993227005005,0.006933793891221285,0.000652547343634069,0.0019340262515470386,0.009048046544194221,0.006933793891221285,0.000652547343634069,0.006933793891221285,0.007125392556190491,1.0,0.0,0.0,0.09757998585700989,0.03467102348804474,0.9799971497412027,mpnn,5,3,16,mean_max,32,38,292800,none,3660.0,0.4676513969898224,0.6459230780601501,0.17878487706184387,1.1145377159118652,0.15284733474254608,0.09757998585700989,0.03467102348804474,0.052781760692596436,0.05711120069026947,0.09262579679489136,0.13413034081462963,0.20095759630203247,0.03467101603746414,0.03467102348804474,0.03467098996043205
6,6.8223249234631655,0.09786111363675445,0.09748611292336136,0.1,-0.002513887076638646,-0.025138868252499637,-0.025138868252499637,0.09884706139564514,0.0,0.0,False,2.528776576582459e-06,119.63407135009766,0.31793883442878723,-3.0316743959701853e-07,0.0,0.05,4.745595288113691e-05,0.0009134490392170846,0.0016436873702332377,0.0007648990140296519,-5.018446245230734e-07,0.9999995231628418,4.953566074371338,node_conditioned,25,True,True,False,-2.139285087585449,0.3695893883705139,0.19144199788570404,0.24440304934978485,0.12244366854429245,2.129915475845337,-13.112589836120605,2.299862861633301,0.14232887781405024,-2.1052536964416504,0.2194957435131073,0.0,0.0,0.0,0.0009134490392170846,0.0,0.0,90,0.2,0.215,0.08888888888888889,842,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09820559620857239,0.02910381183028221,0.05268523097038269,0.19951993227005005,0.007229616865515709,0.0007226183661259711,0.002100836718454957,0.00984356738626957,0.007229616865515709,0.0007226183661259711,0.007229615934193134,0.007468907628208399,1.0,0.0,0.0,0.09884706139564514,0.029285548254847527,0.9834335446552772,mpnn,5,3,16,mean_max,32,38,336800,none,3742.222222222222,0.4544667601585388,0.6701174378395081,0.18946559727191925,1.1297917366027832,0.15295131504535675,0.09884706139564514,0.029285548254847527,0.05279013514518738,0.07025787234306335,0.09403575956821442,0.13378407061103126,0.20093858242034912,0.02928553894162178,0.029285548254847527,0.029285499826073647
7,6.3671681919693945,0.10009999974165112,0.0999312498769723,0.1,-6.875012302770545e-05,-0.0006875011615269383,-0.0006875011615269383,0.0975026935338974,0.0,0.0,False,8.146247409968055e-07,101.57808685302734,0.31309762597084045,1.9130568489345023e-06,0.0,0.05,3.533546259859577e-05,0.0014846542617306113,0.00217347196303308,0.0006909535732120275,-1.4648438195763447e-07,0.9999994039535522,5.609489917755127,node_conditioned,25,True,True,False,-2.41007137298584,0.37350186705589294,0.2069612294435501,0.2606264054775238,0.13149681687355042,1.7151166200637817,-12.582671165466309,1.888890027999878,0.17553171389150501,-2.50814151763916,0.16306062042713165,0.0,0.0,0.0,0.0014846542617306113,0.0,0.0,100,0.2,0.23,0.08,1070,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09691683202981949,0.03426418825984001,0.052685171365737915,0.19951993227005005,0.006678240839391947,0.000714607595000416,0.0014771127607673407,0.009137146174907684,0.006678240839391947,0.000714607595000416,0.0066782403737306595,0.006858197506517172,1.0,0.0,0.0,0.0975026935338974,0.03446648269891739,0.9827737514368171,mpnn,5,3,16,mean_max,32,38,428000,none,4280.0,0.47100508213043213,0.6427741646766663,0.17698153853416443,1.1198546886444092,0.14430876076221466,0.0975026935338974,0.03446648269891739,0.052758872509002686,0.057091087102890015,0.08951553702354431,0.14712857604026794,0.20096544921398163,0.03446647524833679,0.03446648269891739,0.034466441720724106
8,6.927304848954082,0.09959090881980956,0.09860795430373401,0.1,-0.0013920456962659977,-0.01392045557061442,-0.01392045557061442,0.09945613145828247,0.0,0.0,False,-4.849965762332431e-07,121.04151153564453,0.31924623250961304,2.2099717966739263e-07,0.0,0.05,2.181640411436092e-05,0.0016847014194354415,0.0022536213509738445,0.000570423377212137,-3.329190434442353e-08,0.9999995231628418,5.162898063659668,node_conditioned,25,True,True,False,-2.7956156730651855,0.40919941663742065,0.1991957724094391,0.2518760561943054,0.128788560628891,2.0650811195373535,-13.854900360107422,2.2768499851226807,0.17736833627354287,-2.8516387939453125,0.2150140404701233,0.0,0.0,0.0,0.0016847014194354415,0.0,0.0,110,0.2,0.2075,0.045454545454545456,1104,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09895108640193939,0.028479430824518204,0.05268523097038269,0.19951993227005005,0.005649264436215162,0.0006362838321365416,0.0014464821433648467,0.008003884926438332,0.005649264436215162,0.0006362838321365416,0.005649264436215162,0.005879229865968227,1.0,0.0,0.0,0.09945613145828247,0.028623750433325768,0.9860743257585088,mpnn,5,3,16,mean_max,32,38,441600,none,4014.5454545454545,0.4764848053455353,0.6467061638832092,0.18196618556976318,1.1131503582000732,0.13767443597316742,0.09945613145828247,0.028623750433325768,0.0527573823928833,0.06695911288261414,0.10113102197647095,0.12974843978880599,0.2007758617401123,0.02862374298274517,0.028623750433325768,0.02862370014190674
9,7.645086148232221,0.09658333533443511,0.09806770977680572,0.1,-0.0019322902231942857,-0.019322900299652827,-0.019322900299652827,0.09739501774311066,0.0,0.0,False,9.913358098856406e-07,146.5655517578125,0.31187504529953003,-7.818420613148191e-07,0.0,0.05,1.1281792467343621e-05,0.0003536627336870879,0.0004678457335103303,0.00040147267282009125,-4.47591133934111e-07,0.9999995231628418,5.5752854347229,node_conditioned,25,True,True,False,-3.2115416526794434,0.44930198788642883,0.2118552327156067,0.27862489223480225,0.13524089753627777,2.096888780593872,-15.412782669067383,2.3479371070861816,0.20241336725887782,-3.479573965072632,0.23886838555335999,0.0,0.0,0.0,0.0003536627336870879,0.0,0.0,120,0.2,0.2275,0.08333333333333333,1112,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09702412039041519,0.03694553300738335,0.05268523097038269,0.19951993227005005,0.004216987174004316,0.0005251005641184747,0.0010967444395646453,0.0063551487401127815,0.004216987174004316,0.0005251005641184747,0.004216987639665604,0.0043627540580928326,1.0,0.0,0.0,0.09739501774311066,0.03708785027265549,0.9790442491849284,mpnn,5,3,16,mean_max,32,38,444800,none,3706.6666666666665,0.44129297137260437,0.6033716797828674,0.16555266082286835,1.0458011627197266,0.153987854719162,0.09739501774311066,0.03708785027265549,0.052739888429641724,0.05287989675998688,0.09236183762550354,0.13766911923885344,0.200536847114563,0.03708784654736519,0.03708785027265549,0.0370878204703331
10,7.099892393387854,0.08925000023562461,0.09422265652741771,0.1,-0.005777343472582297,-0.057773428948480074,-0.057773428948480074,0.08818688988685608,0.0,0.0,False,5.129602413944667e-07,124.54568481445312,0.2933327555656433,6.729209758304933e-07,0.0,0.05,6.291919817158487e-06,0.0003962713817600161,0.0005517369718290865,0.0002953962830360979,-3.6621094068323146e-07,0.9999995827674866,5.154094696044922,node_conditioned,25,True,True,False,-3.526309013366699,0.4848973751068115,0.22945286333560944,0.3290213942527771,0.14289291203022003,2.121180772781372,-14.770480155944824,2.359941005706787,0.19210847259981823,-3.605146884918213,0.2612519860267639,0.0,0.0,0.0,0.0003962713817600161,0.0,0.0,80,0.2,0.18,0.0375,742,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.08793380856513977,0.028585273772478104,0.05268523097038269,0.16056859493255615,0.0031381656881421804,0.00040874650585465133,0.0007737750420346856,0.004795504733920097,0.0031381656881421804,0.00040874650585465133,0.0031381656881421804,0.003293833928182721,1.0,0.0,0.0,0.08818688988685608,0.028670962899923325,0.9905046907498696,mpnn,5,3,16,mean_max,32,38,296800,none,3710.0,0.4408043324947357,0.6101193428039551,0.1656045764684677,1.0718847513198853,0.1479368358850479,0.08818688988685608,0.028670962899923325,0.05272379517555237,0.052836716175079346,0.07510142028331757,0.1284039407968521,0.16121602058410645,0.028670959174633026,0.028670962899923325,0.028670944273471832
11,6.6212983741983775,0.09683333579683677,0.09715972436009906,0.1,-0.002840275639900941,-0.028402753558734055,-0.028402753558734055,0.09749715030193329,0.0,0.0,False,-1.872969846772321e-06,105.22979736328125,0.31220874190330505,-2.5207549469996593e-07,0.0,0.05,2.688173026399454e-06,0.002071928232908249,0.0022834434639662504,0.00021506630582734942,3.526475609305635e-07,0.999999463558197,5.374314308166504,node_conditioned,25,True,True,False,-3.836512565612793,0.49236664175987244,0.24375095963478088,0.3598628640174866,0.15580150485038757,1.8270134925842285,-14.228249549865723,2.0800881385803223,0.22852819482752385,-3.9631693363189697,0.26146799325942993,0.0,0.0,0.0,0.002071928232908249,0.0,0.0,90,0.2,0.2075,0.1111111111111111,818,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09729154407978058,0.03678353875875473,0.05268523097038269,0.19951993227005005,0.002333294600248337,0.00032283339533023536,0.0006283121183514595,0.0036603943444788456,0.002333294600248337,0.00032283339533023536,0.002333294367417693,0.0024470421485602856,1.0,0.0,0.0,0.09749715030193329,0.03686186671257019,0.9851602968689352,mpnn,5,3,16,mean_max,32,38,327200,none,3635.5555555555557,0.45398256182670593,0.6114034056663513,0.1675466150045395,1.0686371326446533,0.1407882422208786,0.09749715030193329,0.03686186671257019,0.05271652340888977,0.06081658601760864,0.09024924039840698,0.15020958185195923,0.20010188221931458,0.03686186671257019,0.03686186671257019,0.0368618480861187
12,7.189577519111335,0.09657499989494682,0.09825312488595955,0.1,-0.0017468751140404526,-0.017468749393529586,-0.017468749393529586,0.09581011533737183,0.0,0.0,False,4.5904826606602e-07,123.94380187988281,0.31199127435684204,4.799256885235081e-07,0.0,0.05,6.36043409940612e-07,0.0007581425597891212,0.0006478348514065146,0.00012799441174138337,-6.103515914901436e-08,0.9999995231628418,5.434150218963623,node_conditioned,25,True,True,False,-4.3410539627075195,0.5432076454162598,0.23700034618377686,0.32750600576400757,0.15845134854316711,2.005812168121338,-15.60900592803955,2.2994744777679443,0.23910727157958445,-4.621509075164795,0.25482088327407837,0.0,0.0,0.0,0.0007581425597891212,0.0,0.0,100,0.2,0.165,0.04,1050,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09568917006254196,0.02501807175576687,0.052685171365737915,0.14204731583595276,0.0013903116341680288,0.0002058531390503049,0.0003614345914684236,0.0024159098975360394,0.0013903116341680288,0.0002058531390503049,0.0013903117505833507,0.0014455360360443592,1.0,0.0,0.0,0.09581011533737183,0.02505214884877205,0.9930573014519833,mpnn,5,3,16,mean_max,32,38,420000,none,4200.0,0.4632061719894409,0.6199049353599548,0.16949236392974854,1.0874468088150024,0.13523924350738525,0.09581011533737183,0.02505214884877205,0.05270323157310486,0.06453603506088257,0.09635455906391144,0.12930760383605958,0.14232414960861206,0.0250521469861269,0.02505214884877205,0.0250521432608366
13,7.272199758179486,0.1007272724620998,0.09966761338291691,0.1,-0.0003323866170830969,-0.003323865838444385,-0.003323865838444385,0.10149924457073212,0.0,0.0,False,5.256871986603073e-07,125.33904266357422,0.32135480642318726,-1.3805569665237272e-07,0.0,0.05,1.932534701154509e-07,0.0009793402859941125,0.0009230534196831286,5.9537433116929606e-05,-2.4414063659605745e-07,0.9999995231628418,5.325538635253906,node_conditioned,25,True,True,False,-4.7736005783081055,0.5732648968696594,0.2539105713367462,0.36467722058296204,0.1668165624141693,2.053663730621338,-16.11256217956543,2.3693923950195312,0.24874960362140652,-4.898770332336426,0.2541112005710602,0.0,0.0,0.0,0.0009793402859941125,0.0,0.0,110,0.2,0.205,0.1,1052,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.10143812000751495,0.03681665286421776,0.05268523097038269,0.19951993227005005,0.0006628448027186096,0.0001334935805061832,0.00012105800851713866,0.0013810752425342798,0.0006628448027186096,0.0001334935805061832,0.0006628448027186096,0.0006941225146874785,1.0,0.0,0.0,0.10149924457073212,0.036841243505477905,0.9809291656244458,mpnn,5,3,16,mean_max,32,38,420800,none,3825.4545454545455,0.4559588134288788,0.6172803044319153,0.17023515701293945,1.0617876052856445,0.14547264575958252,0.10149924457073212,0.036841243505477905,0.05269122123718262,0.060316532850267626,0.09206978976726532,0.1421322524547577,0.19974058866500854,0.036841243505477905,0.036841243505477905,0.036841243505477905
14,7.758482667952776,0.09370833517983555,0.09588802247832064,0.1,-0.004111977521679369,-0.04111977110481658,-0.04111977110481658,0.09634938836097717,0.0,0.0,False,-3.590486414850602e-07,142.1690673828125,0.3128880262374878,-5.292993421335268e-08,0.0,0.05,1.4324587027658708e-07,0.0005701998015865684,0.0005480331601575017,3.6221816117176786e-05,2.950032467197161e-07,0.9999995827674866,5.1806464195251465,node_conditioned,25,True,True,False,-5.330019950866699,0.6432689428329468,0.25936195254325867,0.3750195801258087,0.17024463415145874,2.283647298812866,-17.40119171142578,2.664304494857788,0.2653332961237932,-5.612089157104492,0.2884465754032135,0.0,0.0,0.0,0.0005701998015865684,0.0,0.0,120,0.2,0.18,0.041666666666666664,1122,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09631367772817612,0.027004742994904518,0.05268523097038269,0.16435986757278442,0.0004049316921737045,0.00010144487168872729,8.669039380038157e-05,0.0010250586783513427,0.0004049316921737045,0.00010144487168872729,0.00040493172127753496,0.0004343966720625758,1.0,0.0,0.0,0.09634938836097717,0.027016695588827133,0.9894960221108823,mpnn,5,3,16,mean_max,32,38,448800,none,3740.0,0.4528201222419739,0.6163885593414307,0.17002727091312408,1.0736467838287354,0.1287243515253067,0.09634938836097717,0.027016695588827133,0.05268952250480652,0.06425092816352965,0.092042475938797,0.13718298077583313,0.16449740529060364,0.027016697451472282,0.027016695588827133,0.027016693726181984
15,7.055091386511922,0.09343750051688403,0.09383007852215086,0.1,-0.006169921477849144,-0.06169920860857058,-0.06169920860857058,0.09202557802200317,0.0,0.0,False,1.852752795628021e-08,114.35771179199219,0.29936307668685913,6.274180464060919e-08,0.0,0.05,6.53747775913871e-08,0.0010352807585150003,0.0010644857538864017,3.206397013855167e-05,-2.288818308215923e-07,0.9999995827674866,4.929594993591309,node_conditioned,25,True,True,False,-5.622740268707275,0.6801263093948364,0.300367534160614,0.41050827503204346,0.1869165450334549,2.1478614807128906,-16.473697662353516,2.5366909503936768,0.2830688996500741,-5.638117790222168,0.33097365498542786,0.0,0.0,0.0,0.0010352807585150003,0.0,0.0,80,0.2,0.2225,0.0875,860,curvature_stage2_mpnn_v1,True,1.2475175857543945,1.5000001192092896,1.5,38,normalized_degree|time_since_last_tx|consecutive_tx_attempts|congestion_ewma|self_information_increment,0.09199397265911102,0.037287794053554535,0.05268523097038269,0.19951993227005005,0.00036750605795532465,0.00011251502291997895,3.342384661664255e-05,0.0011410810984671116,0.00036750605795532465,0.00011251502291997895,0.0003675060288514942,0.00040582288056612015,1.0,0.0,0.0,0.09202557802200317,0.03730399161577225,0.9844231029967973,mpnn,5,3,16,mean_max,32,38,344000,none,4300.0,0.4668389856815338,0.5862498879432678,0.14853188395500183,1.0256611108779907,0.1641400009393692,0.09202557802200317,0.03730399161577225,0.05268678069114685,0.05270123481750488,0.08570793271064758,0.1420972675085068,0.19970226287841797,0.03730399161577225,0.03730399161577225,0.03730398789048195
